id,Risk_Perception
1000205,Very dangerous
1000176,Very dangerous
1000301,Very dangerous
1000315,Very dangerous
1000187,Very dangerous
1000171,Very dangerous
1000212,Very dangerous
1000217,Very dangerous
1000237,Very dangerous
1000121,Very dangerous
1000285,Very dangerous
1000233,Very dangerous
1000261,Very dangerous
1000104,Very dangerous
1000147,Very dangerous
1000147,Very very very dangerous
1000174,Very dangerous
1000225,Very dangerous
1000275,Very dangerous
1000119,Very dangerous
1000128,Very dangerous
1000128,More or less dangerous
1000141,Very dangerous
1000185,Very dangerous
1000122,Very dangerous
1000167,Very dangerous
1000117,Very dangerous
1000111,Very dangerous
1000290,Very dangerous
1000131,Very dangerous
1000226,Very dangerous
1000289,Very dangerous
1000204,Very dangerous
1000190,Very dangerous
1000214,Very dangerous
1000199,Very dangerous
1000155,Very dangerous
1000135,Very dangerous
1000177,Very dangerous
1000116,Very dangerous
1000206,Very dangerous
1000318,Very dangerous
1000271,Very dangerous
1000295,Very dangerous
1000158,Very dangerous
1000246,Very dangerous
1000196,Very dangerous
1000189,Very dangerous
1000268,Very dangerous
1000203,Very dangerous
1000114,Very dangerous
1000219,Very dangerous
1000302,Very dangerous
1000260,Very dangerous
1000239,Very dangerous
1000194,Very dangerous
1000198,Very dangerous
1000162,Very dangerous
1000136,Very dangerous
1000181,Very dangerous
1000210,Very dangerous
1000139,Very dangerous
1000133,Very dangerous
1000243,Very dangerous
1000169,Very dangerous
1000182,Very dangerous
1000170,Very dangerous
1000101,More or less dangerous
1000267,Very dangerous
1000134,Very dangerous
1000221,Very dangerous
1000148,Very dangerous
1000252,Very dangerous
1000274,More or less dangerous
1000144,Very dangerous
1000220,Very dangerous
1000192,Very dangerous
1000253,Very dangerous
1000215,Very dangerous
1000157,Very dangerous
1000113,Very dangerous
1000140,Very dangerous
1000140,More or less dangerous
1000211,Very dangerous
1000197,Very dangerous
1000313,Very dangerous
1000266,Very dangerous
1000108,Very dangerous
1000164,Very dangerous
1000110,Very dangerous
1000103,Very dangerous
1000256,Very dangerous
1000264,Very dangerous
1000193,Very dangerous
1000244,More or less dangerous
1000283,Very dangerous
1000159,Very dangerous
1000262,Very dangerous
1000126,Very dangerous
1000254,Very dangerous
1000152,Very dangerous
1000238,Very dangerous
1000277,Very dangerous
1000106,Very dangerous
1000130,More or less dangerous
1000224,Very dangerous
1000143,Very dangerous
1000161,Very dangerous
1000137,Very dangerous
1000201,Very dangerous
1000300,Very dangerous
1000317,Very dangerous
1000314,Very dangerous
1000235,More or less dangerous
1000320,Very dangerous
1000304,Very dangerous
1000195,More or less dangerous
1000292,Very dangerous
1000163,Very dangerous
1000307,Very dangerous
1000153,More or less dangerous
1000132,Very dangerous
1000168,Very dangerous
1000306,Very dangerous
1000180,Very dangerous
1000151,Very dangerous
1000165,Very dangerous
1000154,Very dangerous
1000231,Very dangerous
1000269,Very dangerous
1000175,Very dangerous
1000188,Very dangerous
1000123,Very dangerous
1000109,Very dangerous
1000270,Very dangerous
1000229,Very dangerous
1000150,Very dangerous
1000319,Very dangerous
1000124,Very dangerous
1000160,Very dangerous
1000184,Very dangerous
1000172,Very dangerous
1000240,Very dangerous
1000112,Very dangerous
1000263,Very dangerous
1000322,Very dangerous
1000138,Very dangerous
1000138,More or less dangerous
1000310,Very dangerous
1000257,Very dangerous
1000287,Very dangerous
1000213,Very dangerous
1000218,More or less dangerous
1000305,Very dangerous
1000118,Very dangerous
1000200,Very dangerous
1000248,Very dangerous
1000280,Very dangerous
1000234,Very dangerous
1000282,Very dangerous
1000228,Very dangerous
1000242,Very dangerous
1000312,Very dangerous
1000281,Very dangerous
1000120,Very dangerous
1000230,Very dangerous
1000209,Very dangerous
1000276,Very dangerous
1000232,Very dangerous
1000245,More or less dangerous
1000125,More or less dangerous
1000286,Very dangerous
1000255,Very dangerous
1000272,Very dangerous
1000249,Very dangerous
1000258,Very dangerous
1000294,Very dangerous
1000216,Very dangerous
1000156,Very dangerous
1000102,Very dangerous
1000166,Very dangerous
1000207,Very dangerous
1000309,Very dangerous
1000202,Very dangerous
1000100,Very dangerous
1000299,Very dangerous
1000241,Very dangerous
1000303,Very dangerous
1000288,Very dangerous
1000291,Very dangerous
1000183,Very dangerous
1000316,Very dangerous
1000223,Very dangerous
1000173,Very dangerous
1000293,Very dangerous
1000284,Very dangerous
1000186,Very dangerous
1000129,Very dangerous
1000191,Very dangerous
1000251,Very dangerous
1000179,Very dangerous
1000178,Very dangerous
1000107,More or less dangerous
1000321,Very dangerous
1000115,Very dangerous
1000259,Very dangerous
1000105,Is not dangerous
1000279,Very dangerous
1000149,Very dangerous
1000208,More or less dangerous
1000142,More or less dangerous
1000142,It all depends on the individual how to take precautionary measures
1000222,Very dangerous
1000222,it is serious and deadly
1000308,Very dangerous
1000146,Very dangerous
1000298,Very dangerous
1000236,Very dangerous
1000297,Very dangerous
1000296,Very dangerous
1000250,Very dangerous
1000145,Very dangerous
1000273,Very dangerous
1000127,Very dangerous
1000247,More or less dangerous
1000227,More or less dangerous
1000265,Very dangerous
1000311,Very dangerous
